年份,公司代號,公司名稱,ROE,ROA
1992,2613,中櫃,10.16,17.56
1993,2613,中櫃,5.92,11.04
1994,2613,中櫃,5.46,9.83
1995,2613,中櫃,4.07,7.26
1996,2613,中櫃,1.56,2.86
1997,2613,中櫃,1.12,2.08
1998,2613,中櫃,1.0,1.89
1999,2613,中櫃,-22.45,-52.16
2001,2613,中櫃,         -2.19,-10.4
2002,2613,中櫃,-3.9,-18.5
2003,2613,中櫃,1.54,3.77
2004,2613,中櫃,7.46,26.82
2005,2613,中櫃,5.21,15.89
2006,2613,中櫃,3.04,8.32
2007,2613,中櫃,4.07,10.57
2008,2613,中櫃,5.25,13.58
2009,2613,中櫃,-1.7,-4.0
2010,2613,中櫃,1.91,3.46
2011,2613,中櫃,2.38,4.49
2013,2613,中櫃,1.88,3.28
2014,2613,中櫃,2.34,4.33
2015,2613,中櫃,0.74,0.85
2016,2613,中櫃,1.12,1.64
2017,2613,中櫃,1.37,1.92
2018,2613,中櫃,1.35,1.93
2019,2613,中櫃,0.68,1.17
2020,2613,中櫃,0.46,          1.01
2021,2613,中櫃,2.17,7.0
2022,2613,中櫃,          1.54,          4.42
