年份,公司代號,公司名稱,ROE,ROA
2000,6153,嘉聯益,17.75,25.47
2001,6153,嘉聯益,         14.19,17.53
2002,6153,嘉聯益,7.35,9.47
2003,6153,嘉聯益,10.07,18.78
2004,6153,嘉聯益,16.19,28.93
2005,6153,嘉聯益,9.67,14.98
2006,6153,嘉聯益,8.35,12.21
2007,6153,嘉聯益,3.98,5.75
2008,6153,嘉聯益,0.35,0.31
2009,6153,嘉聯益,5.1,7.44
2010,6153,嘉聯益,11.45,15.9
2011,6153,嘉聯益,12.18,18.37
2013,6153,嘉聯益,4.68,8.55
2014,6153,嘉聯益,2.51,5.07
2015,6153,嘉聯益,3.67,7.43
2016,6153,嘉聯益,0.66,0.92
2017,6153,嘉聯益,0.32,0.3
2018,6153,嘉聯益,3.99,8.69
2019,6153,嘉聯益,1.78,3.16
2020,6153,嘉聯益,2.42,          4.27
2021,6153,嘉聯益,-1.31,-3.19
2022,6153,嘉聯益,          2.03,          2.96
