年份,公司代號,公司名稱,ROE,ROA
1998,6112,邁達特,12.87,21.78
1999,6112,邁達特,16.51,29.95
2000,6112,邁達特,17.54,23.75
2001,6112,邁達特,         13.44,17.54
2002,6112,邁達特,3.7,4.69
2003,6112,邁達特,1.34,1.5
2004,6112,邁達特,1.86,2.22
2005,6112,邁達特,0.39,0.44
2006,6112,邁達特,3.26,4.48
2007,6112,邁達特,5.46,8.35
2008,6112,邁達特,3.74,5.88
2009,6112,邁達特,3.27,5.03
2010,6112,邁達特,4.43,7.61
2011,6112,邁達特,5.58,10.57
2013,6112,邁達特,5.08,12.32
2014,6112,邁達特,5.03,12.8
2015,6112,邁達特,4.91,12.24
2016,6112,邁達特,5.17,12.5
2017,6112,邁達特,5.57,13.97
2018,6112,邁達特,5.8,14.59
2019,6112,邁達特,5.9,11.64
2020,6112,邁達特,7.29,         12.58
2021,6112,邁達特,7.2,13.16
2022,6112,邁達特,          5.10,          9.63
