年份,公司代號,公司名稱,ROE,ROA
1992,1460,宏遠,13.1,19.7
1993,1460,宏遠,7.8,9.3
1994,1460,宏遠,7.1,9.4
1995,1460,宏遠,8.6,11.7
1996,1460,宏遠,7.4,9.1
1997,1460,宏遠,11.9,16.0
1998,1460,宏遠,11.3,15.0
1999,1460,宏遠,1.5,0.8
2000,1460,宏遠,2.1,1.1
2001,1460,宏遠,          3.60,3.9
2002,1460,宏遠,3.6,1.53
2003,1460,宏遠,-9.7,15.33
2004,1460,宏遠,2.8,3.77
2005,1460,宏遠,0.99,0.93
2006,1460,宏遠,1.36,1.45
2007,1460,宏遠,1.86,2.18
2008,1460,宏遠,-6.03,-10.19
2009,1460,宏遠,0.32,0.13
2010,1460,宏遠,-18.29,-33.92
2011,1460,宏遠,3.12,5.7
2013,1460,宏遠,3.09,5.29
2014,1460,宏遠,4.63,8.08
2015,1460,宏遠,5.2,9.35
2016,1460,宏遠,5.82,10.84
2017,1460,宏遠,2.47,4.43
2018,1460,宏遠,1.85,3.14
2019,1460,宏遠,-1.37,-5.44
2020,1460,宏遠,-6.32,        -21.67
2021,1460,宏遠,1.82,3.42
2022,1460,宏遠,          0.87,          0.31
