年份,公司代號,公司名稱,ROE,ROA
1990,1909,榮成,-1.67,        -10.23
1991,1909,榮成,2.71,0.61
1992,1909,榮成,2.08,0.3
1993,1909,榮成,6.79,8.57
1994,1909,榮成,9.45,15.15
1995,1909,榮成,4.5,4.79
1997,1909,榮成,4.51,4.94
1998,1909,榮成,-3.0,-11.36
1999,1909,榮成,8.6,12.11
2000,1909,榮成,4.21,4.55
2001,1909,榮成,          1.86,0.82
2002,1909,榮成,2.94,3.1
2003,1909,榮成,3.9,4.85
2004,1909,榮成,5.11,6.99
2005,1909,榮成,4.38,6.0
2006,1909,榮成,4.57,6.44
2007,1909,榮成,2.39,3.01
2008,1909,榮成,0.69,0.3
2009,1909,榮成,0.06,-0.45
2010,1909,榮成,4.32,6.13
2011,1909,榮成,4.02,5.79
2013,1909,榮成,3.78,6.66
2014,1909,榮成,3.41,5.72
2015,1909,榮成,3.29,6.02
2016,1909,榮成,6.35,14.55
2017,1909,榮成,7.61,16.82
2018,1909,榮成,3.04,3.64
2019,1909,榮成,2.67,2.28
2020,1909,榮成,3.05,          3.91
2021,1909,榮成,4.67,8.91
2022,1909,榮成,          0.42,         -3.59
