年份,公司代號,公司名稱,ROE,ROA
1993,2849,安泰銀,1.29,2.61
1994,2849,安泰銀,1.52,5.86
1995,2849,安泰銀,0.75,4.15
1996,2849,安泰銀,0.8,5.58
1997,2849,安泰銀,0.99,8.49
1998,2849,安泰銀,0.42,4.26
1999,2849,安泰銀,0.22,2.51
2000,2849,安泰銀,0.02,0.25
2001,2849,安泰銀,          0.05,0.56
2002,2849,安泰銀,-0.79,-10.0
2003,2849,安泰銀,0.22,2.98
2004,2849,安泰銀,0.3,4.48
2005,2849,安泰銀,0.0,0.02
2006,2849,安泰銀,-1.89,-34.99
2007,2849,安泰銀,-5.55,-113.05
2008,2849,安泰銀,-2.02,-35.52
2009,2849,安泰銀,0.03,0.4
2010,2849,安泰銀,0.62,10.36
2011,2849,安泰銀,0.62,10.56
2013,2849,安泰銀,0.75,10.69
2014,2849,安泰銀,0.94,12.03
2015,2849,安泰銀,1.0,11.27
2016,2849,安泰銀,0.34,3.46
2017,2849,安泰銀,0.69,6.74
2018,2849,安泰銀,0.71,6.78
2019,2849,安泰銀,0.67,6.21
2020,2849,安泰銀,0.7,          6.37
2021,2849,安泰銀,0.72,6.7
2022,2849,安泰銀,          0.31,          3.15
