年份,公司代號,公司名稱,ROE,ROA
1990,2324,仁寶,26.0,         55.22
1991,2324,仁寶,8.04,12.25
1992,2324,仁寶,-2.66,-6.06
1993,2324,仁寶,8.74,16.29
1994,2324,仁寶,7.31,12.36
1995,2324,仁寶,5.58,7.32
1996,2324,仁寶,11.87,18.8
1998,2324,仁寶,18.2,23.17
2000,2324,仁寶,13.8,19.7
2001,2324,仁寶,         10.00,14.96
2002,2324,仁寶,10.85,18.25
2003,2324,仁寶,11.47,20.52
2004,2324,仁寶,6.24,10.87
2005,2324,仁寶,7.7,13.78
2006,2324,仁寶,6.45,12.87
2007,2324,仁寶,8.82,18.31
2008,2324,仁寶,8.32,16.19
2009,2324,仁寶,8.84,21.87
2010,2324,仁寶,7.96,22.06
2011,2324,仁寶,4.14,10.05
2013,2324,仁寶,1.0,2.7
2014,2324,仁寶,2.34,7.34
2015,2324,仁寶,2.74,8.35
2016,2324,仁寶,2.87,8.08
2017,2324,仁寶,2.01,5.57
2018,2324,仁寶,3.08,8.65
2019,2324,仁寶,2.57,6.93
2020,2324,仁寶,2.67,          9.02
2021,2324,仁寶,2.9,11.57
2022,2324,仁寶,          2.25,          6.86
