年份,公司代號,公司名稱,ROE,ROA
2001,3006,晶豪科,         36.16,47.08
2002,3006,晶豪科,25.82,31.88
2003,3006,晶豪科,17.79,23.53
2004,3006,晶豪科,24.26,31.62
2005,3006,晶豪科,2.36,2.93
2006,3006,晶豪科,6.03,7.45
2007,3006,晶豪科,10.36,12.81
2008,3006,晶豪科,0.64,0.77
2009,3006,晶豪科,2.24,2.6
2010,3006,晶豪科,5.51,6.63
2011,3006,晶豪科,-3.18,-3.8
2013,3006,晶豪科,9.4,12.37
2014,3006,晶豪科,12.34,18.39
2015,3006,晶豪科,5.1,7.34
2016,3006,晶豪科,6.52,8.57
2017,3006,晶豪科,9.17,12.27
2018,3006,晶豪科,7.24,9.94
2019,3006,晶豪科,4.94,6.93
2020,3006,晶豪科,9.32,         14.02
2021,3006,晶豪科,30.43,48.49
2022,3006,晶豪科,          5.67,          9.16
