平均報酬率,標準差,最大報酬率,最小報酬率,最大報酬率年份,最小報酬率年份,準確率
1.0006931756494781,0.23574516292662767,1.2364383385761057,0.7649480127228504,1998,1999,0.6138975966562173
0.9255902543486684,0.4677133313125927,1.5581188997338065,0.29285179640718567,2000,1999,0.6056096164854036
1.6429881014568077,0.9823462615251072,3.517605633802817,0.5018024873735315,2002,2005,0.5960809102402023
1.040845591364639,0.18695764006482424,1.2682386115971,0.663575743909915,2000,2004,0.6031294452347084
0.9720463138517854,0.30927467166303535,1.33033730100974,0.47020646416826617,2002,2001,0.5888529886914378
1.1374181837501038,0.30507964412918415,1.4645884539373544,0.6373573574022245,1999,1998,0.5941343424787133
1.0922856110057615,0.3464496624672179,1.5916132556426523,0.5253716021239287,2002,2001,0.5874285714285714
0.9921953429525171,0.3349341935693531,1.4426971449428283,0.49935078129735255,1999,1998,0.5913669064748202
1.00346330663286,0.4174701585369587,1.5297643314095508,0.5086289074665085,1999,1998,0.5909090909090909
0.9200778313662386,0.2776245717047822,1.1977024030710208,0.6424532596614564,1999,1998,0.5768115942028985
1.2507492012534858,0.0,1.2507492012534858,1.2507492012534858,1998,1998,0.5833333333333334
