公司代號,公司名稱,ROE,ROA
1101,台泥,          4.36,          6.88
1102,亞泥,          3.35,          4.65
1103,嘉泥,          3.90,          5.57
1104,環泥,          6.75,          8.28
1108,幸福,         -1.03,         -2.23
1109,信大,          8.89,          7.49
1110,東泥,          0.63,          0.68
1201,味全,          3.97,         11.99
1203,味王,          8.51,         13.70
1210,大成,          7.33,         12.66
1213,大飲,          0.27,          0.29
1215,卜蜂,         12.05,         21.78
1216,統一,         15.44,         34.86
1217,愛之味,          2.02,          2.69
1218,泰山,          4.71,          8.70
1219,福壽,          1.13,          1.42
1220,台榮,          2.89,          3.52
1225,福懋油,          5.00,          8.76
1227,佳格,         10.21,         15.01
1229,聯華,         10.68,         12.49
1231,聯華食,          6.69,         13.24
1232,大統益,         15.27,         21.80
1233,天仁,          8.66,         11.99
1234,黑松,          2.47,          3.07
1235,興泰,          6.52,          8.86
1236,宏亞,          0.34,          0.28
1256,鮮活果汁-KY,         15.01,         23.44
1301,台塑,         10.87,         15.01
1303,南亞,         10.37,         15.03
1304,台聚,          4.60,          8.11
1305,華夏,         10.39,         16.79
1307,三芳,          6.27,         10.43
1308,亞聚,          4.06,          5.85
1309,台達化,          6.28,         13.78
1310,台苯,          8.88,         13.02
1312,國喬,         13.01,         15.55
1313,聯成,          6.47,         11.80
1314,中石化,          7.90,         10.72
1315,達新,          1.83,          2.30
1316,上曜,          7.75,         14.09
1319,東陽,          6.73,         11.55
1321,大洋,         -0.46,         -1.69
1323,永裕,          8.36,         15.30
1324,地球,          4.41,          5.95
1325,恆大,          2.05,          2.22
1326,台化,         11.10,         15.04
1337,再生-KY,          1.73,          1.84
1338,廣華-KY,          8.00,         11.15
1339,昭輝,          4.67,          8.51
1340,勝悅-KY,         12.42,         13.32
1341,富林-KY,         18.74,         37.86
1342,八貫,         11.47,         21.47
1402,遠東新,          3.26,          4.19
1409,新纖,          1.24,          3.27
1410,南染,          6.64,          8.07
1413,宏洲,          5.56,         13.93
1414,東和,          2.09,          2.90
1416,廣豐,          2.88,          4.81
1417,嘉裕,         -9.33,        -12.41
1418,東華,        -17.91,       -164.12
1419,新紡,          9.63,         14.39
1423,利華,          1.62,          1.77
1432,大魯閣,         -1.16,         -7.88
1434,福懋,          5.26,          6.64
1435,中福,          0.07,          0.08
1436,華友聯,          4.33,         10.10
1437,勤益控,          3.85,          5.94
1438,三地開發,         -0.91,         -1.03
1439,雋揚,         -0.32,         -0.35
1440,南紡,          2.02,          2.97
1441,大東,         -7.01,        -49.27
1442,名軒,          5.00,         10.29
1443,立益物流,         -5.27,        -49.71
1444,力麗,          0.04,         -0.40
1445,大宇,          0.55,          0.66
1446,宏和,         -0.95,         -2.32
1447,力鵬,         -0.44,         -1.75
1449,佳和,          3.17,          4.89
1451,年興,          2.45,          3.28
1452,宏益,          8.07,          8.84
1453,大將,         -2.12,         -2.70
1454,台富,          0.99,          1.16
1455,集盛,          3.16,          4.71
1456,怡華,          1.98,          3.34
1457,宜進,          6.18,         10.84
1459,聯發,          1.98,          2.84
1460,宏遠,          2.47,          4.43
1463,強盛,         16.86,         21.05
1464,得力,          3.77,          7.84
1465,偉全,          1.39,          2.03
1466,聚隆,          0.49,         -0.17
1467,南緯,         -0.14,         -3.04
1468,昶和,         -3.58,         -9.93
1470,大統新創,          3.81,          4.42
1471,首利,        -20.08,        -30.20
1472,三洋實業,         -4.09,        -12.00
1473,台南,          1.81,          2.39
1474,弘裕,          3.22,          5.76
1475,業旺,        -26.56,        -56.75
1476,儒鴻,         15.38,         20.23
1477,聚陽,         10.30,         15.05
1503,士電,          3.87,          6.26
1504,東元,          2.72,          6.24
1506,正道,          0.53,         -0.92
1512,瑞利,        -13.32,        -58.36
1513,中興電,          3.46,          6.81
1514,亞力,          2.45,          4.28
1515,力山,          5.19,         11.29
1516,川飛,          3.82,          4.96
