公司代號,公司名稱,ROE,ROA
1101,台泥,          7.95,         12.94
1102,亞泥,          6.17,          9.77
1103,嘉泥,          2.78,          3.83
1104,環泥,          4.88,          6.01
1108,幸福,         -2.40,         -4.66
1109,信大,         13.60,         17.30
1110,東泥,          0.71,          0.77
1201,味全,          4.30,         12.41
1203,味王,          7.83,         12.26
1210,大成,          6.41,         10.98
1213,大飲,         -7.68,        -13.76
1215,卜蜂,          7.05,         14.00
1216,統一,          6.83,         14.90
1217,愛之味,          1.42,          1.14
1218,泰山,          6.07,          9.09
1219,福壽,         -0.66,         -2.49
1220,台榮,          3.83,          4.69
1225,福懋油,          4.78,          8.30
1227,佳格,         12.99,         19.11
1229,聯華,          8.33,          9.91
1231,聯華食,          8.40,         16.50
1232,大統益,         17.05,         23.85
1233,天仁,          8.28,         11.24
1234,黑松,          3.11,          3.96
1235,興泰,          2.05,          2.29
1236,宏亞,          0.61,          0.74
1256,鮮活果汁-KY,         18.21,         26.73
1301,台塑,         10.38,         14.15
1303,南亞,          9.71,         13.97
1304,台聚,          3.12,          5.26
1305,華夏,         10.54,         15.94
1307,三芳,          2.29,          3.65
1308,亞聚,          2.09,          2.95
1309,台達化,          2.88,          5.27
1310,台苯,         11.21,         15.52
1312,國喬,         10.90,         12.83
1313,聯成,          2.42,          3.67
1314,中石化,          5.07,          6.60
1315,達新,          2.44,          3.05
1316,上曜,          4.65,          8.17
1319,東陽,          5.53,          8.94
1321,大洋,         -0.43,         -1.42
1323,永裕,          9.09,         16.53
1324,地球,          0.09,          0.12
1325,恆大,          3.15,          3.37
1326,台化,          9.84,         13.02
1337,再生-KY,        -19.06,        -21.22
1338,廣華-KY,          5.34,          7.26
1339,昭輝,          4.92,          8.81
1340,勝悅-KY,          1.95,          2.05
1341,富林-KY,          8.86,         18.34
1342,八貫,         13.12,         22.85
1402,遠東新,          3.90,          6.05
1409,新纖,          2.43,          7.91
1410,南染,          7.30,          8.85
1413,宏洲,         10.70,         23.89
1414,東和,          0.97,          1.24
1416,廣豐,          3.74,          5.90
1417,嘉裕,         -5.28,         -6.77
1418,東華,         -8.98,        -46.50
1419,新紡,          2.29,          3.16
1423,利華,          3.75,          4.10
1432,大魯閣,         -7.20,        -11.42
1434,福懋,          5.85,          7.18
1435,中福,         -1.14,         -1.35
1436,華友聯,          5.48,         14.10
1437,勤益控,          2.94,          4.46
1438,三地開發,         -1.98,         -2.24
1439,雋揚,         -3.38,         -3.67
1440,南紡,          2.80,          4.26
1441,大東,         31.99,         91.60
1442,名軒,          1.15,          2.22
1443,立益物流,        -11.38,       -107.89
1444,力麗,          2.32,          3.08
1445,大宇,         -1.11,         -1.33
1446,宏和,         -0.68,         -1.73
1447,力鵬,          1.28,          1.74
1449,佳和,          0.21,        -15.31
1451,年興,          3.97,          5.38
1452,宏益,          7.11,          7.85
1453,大將,         24.81,         29.01
1454,台富,          1.04,          1.28
1455,集盛,          0.89,          1.17
1456,怡華,          1.36,          1.06
1457,宜進,          5.36,         10.14
1459,聯發,         -4.39,        -11.58
1460,宏遠,          1.85,          3.14
1463,強盛,          9.35,         10.27
1464,得力,          2.41,          4.68
1465,偉全,          1.01,          1.50
1466,聚隆,         -2.29,         -6.17
1467,南緯,          0.40,         -1.75
1468,昶和,          2.56,          4.04
1470,大統新創,          4.33,          5.19
1471,首利,        -16.18,        -27.69
1472,三洋實業,         -6.85,        -19.88
1473,台南,          1.90,          2.06
1474,弘裕,          3.09,          5.48
1475,業旺,        -38.74,        -92.84
1476,儒鴻,         20.93,         27.37
1477,聚陽,         11.96,         17.51
1503,士電,          3.91,          6.40
1504,東元,          3.97,          5.97
1506,正道,         -3.80,        -10.46
1512,瑞利,         -4.49,        -28.59
1513,中興電,          3.56,          7.42
1514,亞力,          4.04,          7.47
1515,力山,          6.41,         15.91
1516,川飛,          4.26,          4.50
1517,利奇,          1.28,          1.80
1519,華城,          1.11,          1.72
1521,大億,          8.84,         16.87
1522,堤維西,          3.43,          9.24
1524,耿鼎,          4.24,          8.81
1525,江申,          9.30,         11.33
1526,日馳,          7.34,         15.59
1527,鑽全,          7.76,         30.30
1528,恩德,          1.23,          1.62
1529,樂事綠能,          5.39,          6.92
1530,亞崴,          4.66,         11.63
1531,高林股,          2.93,          3.29
1532,勤美,          6.71,         14.65
1533,車王電,          4.73,          8.86
1535,中宇,          1.31,          3.23
1536,和大,          8.66,         18.39
1537,廣隆,         17.84,         26.06
1538,正峰,         -6.55,        -26.92
1539,巨庭,         11.25,         26.88
1540,喬福,          7.80,          9.66
1541,錩泰,          2.96,          6.98
1558,伸興,         13.98,         20.29
1560,中砂,         11.79,         16.27
1568,倉佑,          3.14,          5.94
1582,信錦,         10.49,         15.44
1583,程泰,          5.60,         13.24
1587,吉茂,          2.06,          3.35
1589,永冠-KY,         -1.06,         -3.17
1590,亞德客-KY,          9.40,         17.17
1597,直得,         16.49,         27.28
1598,岱宇,          2.50,          6.03
1603,華電,          1.82,          2.61
1604,聲寶,          5.76,         10.37
1605,華新,          9.47,         15.78
1608,華榮,         -4.51,         -7.16
1609,大亞,          3.89,          7.15
1611,中電,          0.55,          0.72
1612,宏泰,          2.37,          2.68
1614,三洋電,          3.21,          3.92
1615,大山,          8.40,         12.07
1616,億泰,          0.60,          0.66
1617,榮星,          7.01,         12.62
1618,合機,         -0.24,         -0.26
1626,艾美特-KY,          0.97,         -0.58
1701,中化,          3.77,          6.49
1702,南僑,          5.41,         17.31
1707,葡萄王,         18.51,         28.51
1708,東鹼,          4.13,          6.21
1709,和益,          3.71,          5.10
1710,東聯,          7.41,         13.09
1711,永光,          3.48,          5.11
1712,興農,          5.24,         10.69
1713,國化,          4.71,          5.05
1714,和桐,          2.53,          3.01
1717,長興,          3.52,          6.99
1718,中纖,          1.19,          7.90
1720,生達,          6.79,         10.13
1721,三晃,          0.72,          0.64
1722,台肥,          3.01,          4.56
1723,中碳,         13.26,         21.30
1725,元禎,          4.16,          7.25
1726,永記,          7.49,          8.93
1727,中華化,          4.08,          6.64
1730,花仙子,         13.24,         21.10
1731,美吾華,          3.03,          4.35
1732,毛寶,          1.22,          1.63
1733,五鼎,          3.91,          5.66
1734,杏輝,         -1.79,         -3.49
1735,日勝化,          0.84,          0.74
1736,喬山,          2.13,          4.71
1737,臺鹽,          6.21,          7.43
1752,南光,          3.30,          4.82
1760,寶齡富錦,         10.33,         14.56
1762,中化生,          7.28,         12.31
1773,勝一,         15.76,         19.98
1776,展宇,         -1.00,         -2.04
1783,和康生,          5.38,          6.96
1786,科妍,          5.46,          8.72
1789,神隆,          4.01,          4.23
1795,美時,          2.55,          1.61
1802,台玻,          1.90,          2.12
1805,寶徠,         -5.80,        -13.97
1806,冠軍,         -4.32,         -8.51
1808,潤隆,          9.89,         35.03
1809,中釉,         -0.18,         -0.49
1810,和成,         -0.15,         -1.36
1817,凱撒衛,         11.66,         15.35
1903,士紙,         -2.18,         -6.06
1904,正隆,          7.37,         17.60
1905,華紙,          1.96,          3.38
1906,寶隆,          6.18,          7.47
1907,永豐餘,          2.41,          4.33
1909,榮成,          3.04,          3.64
2002,中鋼,          4.55,          8.26
2006,東和鋼鐵,          2.38,          3.70
2007,燁興,          0.61,          0.33
2008,高興昌,         -2.66,         -7.02
2009,第一銅,          1.65,          2.21
2010,春源,          1.68,          2.22
2012,春雨,          6.10,         13.52
2013,中鋼構,          1.07,          2.80
2014,中鴻,          9.70,         22.73
2015,豐興,         13.57,         16.24
2017,官田鋼,          2.25,          2.75
2020,美亞,          5.76,          9.81
2022,聚亨,          1.48,          0.12
2023,燁輝,          1.46,          0.89
2024,志聯,          3.97,          6.31
2025,千興,        -23.20,        -46.82
2027,大成鋼,         10.16,         21.85
2028,威致,          9.02,         24.60
2029,盛餘,          1.00,          1.09
2030,彰源,          6.29,         14.11
2031,新光鋼,          7.16,         14.58
2032,新鋼,          0.84,          1.00
2033,佳大,          1.18,          1.24
2034,允強,          7.97,         11.78
2038,海光,         -1.88,          5.65
2049,上銀,         11.59,         23.83
2059,川湖,         16.84,         18.83
2062,橋椿,          1.38,          2.06
2069,運錩,         12.46,         26.30
2101,南港,          1.20,          1.72
2102,泰豐,         -7.93,        -14.36
2103,台橡,          4.62,          7.40
2104,國際中橡,          8.12,         12.33
2105,正新,          2.83,          4.39
2106,建大,          2.13,          3.61
2107,厚生,          1.61,          2.04
2108,南帝,         16.78,         20.56
2109,華豐,         -1.46,         -3.82
2114,鑫永銓,         14.64,         17.44
2115,六暉-KY,          6.51,          9.42
2201,裕隆,          1.51,          4.74
2204,中華,          6.10,          7.06
2206,三陽工業,          2.45,          5.05
2207,和泰車,          5.35,         20.51
2208,台船,        -13.45,        -50.14
2227,裕日車,         22.71,         28.28
2228,劍麟,         10.39,         13.37
2231,為升,         15.92,         27.40
2233,宇隆,         11.86,         16.21
