公司代號,公司名稱,ROE,ROA
2302,麗正,         -9.04,        -11.28
2303,聯電,          4.84,          6.24
2305,全友,         -4.00,        -10.00
2308,台達電,         10.03,         16.87
2312,金寶,         12.66,         15.95
2313,華通,        -10.74,        -20.63
2314,台揚,          2.49,          1.07
2316,楠梓電,          4.52,          6.32
2317,鴻海,         14.72,         28.83
2321,東訊,          2.26,          2.89
2323,中環,          9.57,         14.15
2324,仁寶,         11.47,         20.52
2327,國巨,         -0.74,         -2.20
2328,廣宇,          5.19,          6.56
2329,華泰,        -11.52,        -38.02
2330,台積電,         12.67,         15.12
2331,精英,          2.99,          5.20
2332,友訊,          8.00,         14.00
2337,旺宏,        -12.17,        -27.57
2340,台亞,         -5.04,        -11.66
2342,茂矽,        -12.07,        -34.90
2344,華邦電,          0.00,         -1.85
2345,智邦,        -18.49,        -28.09
2347,聯強,          8.63,         13.39
2348,海悅,        -10.00,        -49.90
2349,錸德,          2.27,          2.20
2351,順德,          3.82,          5.74
2352,佳世達,         10.00,         17.00
2353,宏碁,          8.38,         11.30
2354,鴻準,         10.22,         15.05
2355,敬鵬,          7.00,         10.00
2356,英業達,          9.00,         15.72
2357,華碩,         13.82,         16.41
2358,廷鑫,          3.14,          6.03
2359,所羅門,          1.00,         -2.00
2360,致茂,          8.43,         12.37
2362,藍天,          7.40,         10.21
2363,矽統,          1.72,          1.20
2364,倫飛,         -8.30,        -26.02
2365,昆盈,         12.29,         17.98
2367,燿華,          1.33,          1.39
2368,金像電,          1.37,          0.79
2369,菱生,          7.36,          9.75
2371,大同,          0.64,          0.32
2373,震旦行,          7.64,         15.02
2374,佳能,          8.69,         13.13
2375,凱美,          2.95,          3.36
2376,技嘉,         12.95,         18.76
2377,微星,          8.55,         16.38
2379,瑞昱,         14.35,         16.23
2380,虹光,         13.74,         18.34
2382,廣達,         11.45,         23.99
2383,台光電,         -6.99,        -10.07
2385,群光,         25.79,         41.05
2387,精元,         16.05,         22.10
2388,威盛,         -4.56,         -7.17
2392,正崴,          8.31,         11.75
2393,億光,         14.00,         19.00
2395,研華,         13.73,         19.63
2397,友通,          3.00,          3.00
2399,映泰,          8.33,         19.11
2401,凌陽,         12.85,         14.71
2402,毅嘉,         12.40,         20.25
2404,漢唐,         10.91,         21.96
2405,輔信,         12.59,         21.56
2406,國碩,          4.13,          5.17
2408,南亞科,         -0.70,         -3.16
2409,友達,         12.00,         18.00
2412,中華電,         10.47,         12.97
2413,環科,          1.17,          0.47
2414,精技,          3.94,          7.30
2415,錩新,          7.59,         11.65
2417,圓剛,         13.29,         19.02
2419,仲琦,          0.57,         -1.16
2420,新巨,          8.43,         12.41
2421,建準,          2.04,          2.61
2423,固緯,         10.38,         13.22
2424,隴華,         -4.91,         -6.73
2425,承啟,         -2.00,         -5.00
2426,鼎元,          5.00,          8.00
2427,三商電,          3.41,          5.39
2428,興勤,         11.41,         14.17
2429,銘旺科,        -10.19,        -26.86
2431,聯昌,          5.12,          6.91
2432,倚天酷碁-創,          6.86,          8.18
2433,互盛電,          5.48,          7.21
2434,統懋,          3.20,          3.60
2436,偉詮電,         13.00,         14.09
2438,翔耀,          2.84,          2.80
2439,美律,         11.81,         16.99
2440,太空梭,         -4.94,        -15.51
2441,超豐,         14.63,         22.07
2442,新美齊,         -8.32,        -18.67
2444,兆勁,         -9.84,        -24.63
2449,京元電子,          4.82,          6.80
2450,神腦,          6.16,         11.14
2451,創見,         26.64,         35.85
2453,凌群,          1.40,          1.90
2454,聯發科,         45.65,         55.18
2455,全新,        -15.21,        -25.61
2457,飛宏,          3.51,          6.33
2458,義隆,         14.46,         19.43
2459,敦吉,         10.13,         18.07
2460,建通,         13.02,         22.26
2461,光群雷,         -6.34,        -19.82
2462,良得電,         11.12,         15.16
2464,盟立,          6.71,         14.17
2465,麗臺,         -8.54,        -17.98
2466,冠西電,         -1.18,         -2.84
2467,志聖,          3.64,          4.87
2468,華經,          3.00,          4.00
2471,資通,         -0.37,         -0.48
2472,立隆電,          3.19,          4.51
2474,可成,         17.85,         27.80
2476,鉅祥,          5.35,          7.42
2477,美隆電,         17.01,         26.28
2478,大毅,          8.97,         10.14
2480,敦陽科,          7.92,         13.15
2481,強茂,          7.68,         13.96
2482,連宇,          5.28,          7.06
2483,百容,          7.02,          7.49
2484,希華,          4.43,          5.11
2485,兆赫,         11.72,         14.96
2486,一詮,          2.65,          2.85
2488,漢平,         12.84,         17.59
2489,瑞軒,          5.70,          9.21
2491,吉祥全,          1.40,          0.86
2492,華新科,          1.55,          2.07
2493,揚博,         -5.52,         -9.62
2495,普安,         42.64,         47.91
2496,卓越,        -23.81,        -39.31
2497,怡利電,          3.14,          3.59
2498,宏達電,         15.00,         31.00
2501,國建,          1.41,          1.51
2504,國產,          0.96,          0.53
2506,太設,         10.55,         68.50
2509,全坤建,        -16.22,        -34.26
2511,太子,          1.77,          3.94
2514,龍邦,          6.98,          8.60
2515,中工,          0.49,          0.56
2516,新建,          5.03,          2.18
2524,京城,          6.68,         25.44
2527,宏璟,         -5.17,        -10.30
2528,皇普,         -9.14,        -84.84
2530,華建,         -9.26,        -32.79
2534,宏盛,         -0.44,         -2.27
2536,宏普,          1.11,          1.23
2537,聯上發,        -13.11,        -54.25
2538,基泰,          3.17,          6.49
2539,櫻花建,         -1.65,        -88.41
2540,愛山林,          0.75,        -12.21
2542,興富發,          4.00,          7.32
2543,皇昌,          4.77,          9.31
2545,皇翔,          4.11,          8.03
2547,日勝生,         -7.60,        -23.69
2548,華固,          0.95,          1.01
2601,益航,          1.83,          1.57
2603,長榮,          5.81,          9.28
2605,新興,         16.02,         18.39
2606,裕民,         17.54,         23.65
2607,榮運,          2.72,          3.08
2608,嘉里大榮,          0.00,         -0.95
2609,陽明,         13.32,         23.07
2610,華航,          2.11,          3.74
2611,志信,          3.60,          4.60
2612,中航,         10.00,         12.00
2613,中櫃,          1.54,          3.77
2614,東森,          6.90,         15.11
2615,萬海,         13.78,         21.80
2616,山隆,          7.00,         12.00
2618,長榮航,          2.61,          4.00
2702,華園,         -0.38,         -1.34
2704,國賓,          0.68,         -0.09
2705,六福,         -3.12,         -5.41
2706,第一店,          3.10,          4.00
2707,晶華,         16.28,         20.01
2801,彰銀,          0.23,          4.65
2809,京城銀,          0.38,          7.59
2812,台中銀,          0.15,          2.60
2816,旺旺保,          2.07,          4.47
2820,華票,          9.56,         14.12
2832,台產,          2.81,          9.48
2834,臺企銀,          0.01,          0.28
2836,高雄銀,          0.31,          5.11
2838,聯邦銀,          0.70,          8.28
2845,遠東銀,          1.59,         24.39
2849,安泰銀,          0.22,          2.98
2850,新產,          2.30,          9.35
2851,中再保,          2.06,          8.71
2852,第一保,          5.45,         17.13
2855,統一證,          4.71,         11.80
2880,華南金,         14.18,         15.34
2881,富邦金,          8.68,          9.85
2882,國泰金,         13.98,         16.29
2883,開發金,         -8.67,        -10.71
2885,元大金,          6.57,          7.25
2886,兆豐金,         10.07,         12.10
2887,台新金,         11.83,         14.06
2888,新光金,         16.22,         21.04
2889,國票金,         12.84,         12.93
2890,永豐金,          8.21,          9.18
2891,中信金,          7.60,          9.47
2892,第一金,        -37.37,        -37.43
2903,遠百,          1.30,          2.00
2904,匯僑,          2.82,          0.39
2905,三商,          5.09,          7.94
2906,高林,          8.42,         14.00
2908,特力,          3.14,          3.66
2910,統領,          7.20,         16.87
2911,麗嬰房,          2.67,          3.91
2912,統一超,         14.28,         28.86
2913,農林,          0.80,         -2.00
2915,潤泰全,          5.77,         10.92
3002,歐格,         12.04,         15.85
3003,健和興,         17.70,         20.86
3004,豐達科,          2.70,          2.68
3005,神基,          1.66,          3.07
3006,晶豪科,         17.79,         23.53
3008,大立光,         26.73,         33.78
3010,華立,         12.57,         22.29
3011,今皓,          8.64,         13.59
3013,晟銘電,          3.00,          6.00
3014,聯陽,         13.31,         17.11
3015,全漢,         12.00,         27.00
3016,嘉晶,         -0.22,         -0.61
3017,奇鋐,          8.33,         18.29
3018,隆銘綠能,          4.47,          6.13
3019,亞光,         17.70,         32.92
3021,鴻名,         -9.56,        -32.55
3022,威強電,         22.28,         26.75
3023,信邦,          9.08,         19.85
3024,憶聲,         15.33,         21.70
3025,星通,         -0.01,         -0.57
3026,禾伸堂,          8.93,         14.12
3027,盛達,          8.19,         10.23
3028,增你強,          4.71,         10.49
3029,零壹,          2.14,          3.51
3030,德律,         12.66,         17.41
3031,佰鴻,         22.00,         28.00
3032,偉訓,          4.17,          5.95
3033,威健,          6.54,         14.14
3034,聯詠,         29.32,         39.10
3035,智原,         25.68,         31.17
3036,文曄,          6.22,         12.68
3037,欣興,          5.49,          8.43
3040,遠見,          9.00,         12.00
3041,揚智,          0.00,          0.00
3042,晶技,          4.80,          7.51
3043,科風,         37.16,         24.31
3044,健鼎,          9.85,         18.51
3045,台灣大,         10.64,         20.00
3046,建碁,          3.98,          7.62
3047,訊舟,         -2.02,         -7.61
3048,益登,         16.78,         32.64
3049,精金,          6.11,          9.76
3050,鈺德,          8.22,         10.94
3051,力特,         14.89,         28.48
3052,夆典,         -5.58,        -10.56
3054,立萬利,          3.53,          6.32
3055,蔚華科,          9.39,         14.81
3056,富華新,          2.00,          2.00
3057,喬鼎,         20.81,         24.48
3058,立德,          3.60,          5.58
3059,華晶科,         13.02,         25.73
3060,銘異,         19.00,         32.00
3062,建漢,         12.97,         26.26
3090,日電貿,          7.68,         15.51
3209,全科,          9.15,         15.69
3229,晟鈦,         16.02,         22.97
3231,緯創,          5.09,          9.78
3266,昇陽,         19.20,         29.35
3296,勝德,         22.70,         38.33
3305,昇貿,          6.61,          9.98
3311,閎暉,         21.21,         31.59
3312,弘憶股,          5.67,         14.69
3376,新日興,         15.73,         25.46
3380,明泰,          3.00,          3.00
4104,佳醫,         10.39,         14.34
4106,雃博,         14.26,         20.45
4108,懷特,        -15.51,        -16.22
4119,旭富,         10.73,         13.45
4306,炎洲,          8.34,         12.99
4414,如興,          4.13,          6.88
4526,東台,         13.09,         25.13
4532,瑞智,          5.89,          9.47
4720,德淵,          8.46,         13.01
4722,國精化,          5.71,         10.18
4904,遠傳,         12.94,         20.20
5007,三星,          7.72,         17.26
5203,訊連,         17.30,         25.50
5306,桂盟,         -2.71,         -4.52
5388,中磊,         10.78,         20.20
5434,崇越,         10.57,         19.30
5469,瀚宇博,          7.22,         12.10
5471,松翰,         25.70,         29.47
5484,慧友,         17.17,         21.73
5515,建國,          7.26,         14.05
5519,隆大,          0.84,          1.48
5521,工信,          1.67,          2.35
5522,遠雄,          2.05,          4.25
5525,順天,          6.72,          9.24
5531,鄉林,          1.83,          3.38
5533,皇鼎,         -5.44,        -13.26
5534,長虹,          5.41,         11.90
5607,遠雄港,          6.35,          9.46
5608,四維航,          7.64,          9.75
5706,鳳凰,          3.51,          5.61
6005,群益證,          2.01,          4.96
6108,競國,          8.37,         17.13
6112,邁達特,          1.34,          1.50
6115,鎰勝,         14.99,         27.44
6116,彩晶,          1.62,          2.21
