公司代號,公司名稱,ROE,ROA
1101,台泥,          5.91,          8.00
1102,亞泥,          8.50,         11.67
1103,嘉泥,          6.92,          9.60
1108,幸福,          5.24,          7.67
1109,信大,          8.36,         10.13
1110,東泥,          7.23,          9.44
1201,味全,         -1.84,         -4.90
1203,味王,          2.16,          3.06
1215,卜蜂,          4.76,          5.65
1216,統一,          9.33,         11.59
1217,愛之味,          5.04,          5.89
1218,泰山,          4.66,          5.38
1219,福壽,          1.48,          0.89
1220,台榮,          0.01,         -1.36
1227,佳格,         15.53,         20.04
1231,聯華食,          7.77,         10.15
1232,大統益,          8.55,         10.39
1233,天仁,          6.61,          8.56
1236,宏亞,          9.02,         15.52
1301,台塑,         11.35,         15.98
1303,南亞,          9.36,         16.53
1304,台聚,         10.84,         13.74
1305,華夏,          7.66,         11.07
1308,亞聚,         27.70,         32.26
1309,台達化,          0.25,         -1.16
1310,台苯,          3.52,          3.84
1312,國喬,          4.09,          4.78
1313,聯成,          8.70,          9.80
1314,中石化,          5.27,          8.07
1315,達新,          7.29,          8.93
1316,上曜,         -4.43,         -7.34
1319,東陽,          7.46,         12.84
1323,永裕,          7.79,         10.65
1324,地球,          3.19,          4.68
1326,台化,          6.08,          8.63
1402,遠東新,          3.60,          3.60
1409,新纖,          2.62,          1.78
1413,宏洲,         -1.63,         -3.00
1414,東和,         -0.37,         -9.21
1417,嘉裕,          3.60,          4.27
1418,東華,          4.94,          5.34
1423,利華,          0.80,          0.47
1432,大魯閣,         -5.88,         -9.68
1434,福懋,          7.47,          9.57
1435,中福,          1.76,          1.99
1436,華友聯,          3.58,          4.68
1437,勤益控,          2.08,          2.47
1438,三地開發,          1.03,          1.46
1439,雋揚,          2.63,          2.80
1440,南紡,          2.56,          2.82
1441,大東,          1.04,         -2.11
1442,名軒,          2.50,          2.86
1443,立益物流,          6.18,          8.57
1445,大宇,          5.46,          6.41
1449,佳和,          4.74,          5.11
1452,宏益,          8.16,         10.76
1453,大將,         -0.56,         -2.74
1455,集盛,          9.73,         11.35
1457,宜進,          6.86,          8.92
1459,聯發,          6.58,          7.38
1460,宏遠,          7.40,          9.10
1463,強盛,          7.33,          9.43
1464,得力,          8.72,         12.58
1465,偉全,          8.94,         12.20
1466,聚隆,          7.27,          9.20
1467,南緯,          6.37,          8.16
1472,三洋實業,         16.41,         29.77
1475,業旺,          6.48,         10.97
1503,士電,          6.40,         10.20
1504,東元,          7.93,         12.63
1506,正道,          2.87,          3.53
1513,中興電,          2.96,         10.59
1514,亞力,          4.85,          8.26
1515,力山,          5.93,          6.79
1516,川飛,          5.29,          6.94
1517,利奇,         13.64,         16.90
1519,華城,          7.40,         12.43
1521,大億,          6.00,         10.01
1522,堤維西,          8.68,         20.24
1524,耿鼎,          9.18,         15.04
1528,恩德,          6.86,         12.73
1532,勤美,          5.10,          6.67
1535,中宇,          5.39,          8.60
1538,正峰,          7.27,         13.85
1603,華電,          4.46,          5.79
1604,聲寶,          5.22,          6.47
1605,華新,          3.32,          2.68
1608,華榮,          8.03,         10.33
1609,大亞,          3.95,          4.28
1611,中電,          6.17,          8.17
1612,宏泰,         12.15,         14.29
1614,三洋電,          5.80,          9.49
1615,大山,          9.87,         16.27
1616,億泰,         18.60,         32.45
1617,榮星,         10.08,         15.47
1618,合機,          8.40,         11.73
1701,中化,          0.57,         -2.96
1702,南僑,          7.48,         10.82
1707,葡萄王,          3.80,          4.29
1708,東鹼,          2.02,          2.37
1709,和益,          4.75,          5.62
1710,東聯,          8.45,          8.72
1711,永光,          9.27,         11.89
1712,興農,          2.70,          2.20
1713,國化,          5.01,          6.11
1714,和桐,          4.79,          5.74
1717,長興,         10.00,         16.00
1718,中纖,          4.70,          6.20
1720,生達,          9.83,         13.92
1721,三晃,          7.40,         10.03
1722,台肥,          0.18,          0.55
1723,中碳,          8.60,         16.10
1725,元禎,          4.64,          4.08
1726,永記,         16.58,         26.88
1727,中華化,         32.25,         47.19
1731,美吾華,          7.61,         11.27
1805,寶徠,         -8.91,        -17.66
1806,冠軍,          7.64,          8.95
1809,中釉,          4.80,          5.63
1903,士紙,          4.72,          6.38
1904,正隆,          3.40,          4.23
1905,華紙,         -2.64,         -6.45
1906,寶隆,         -8.91,        -16.92
1907,永豐餘,          2.91,          2.57
2002,中鋼,          7.00,         10.00
2006,東和鋼鐵,          0.97,         -2.22
2007,燁興,          2.94,          2.27
2008,高興昌,          2.77,          0.78
2009,第一銅,          2.95,          3.24
2012,春雨,          3.38,          3.75
2013,中鋼構,          3.30,          3.30
2014,中鴻,          3.00,          6.12
2015,豐興,          2.49,          3.66
2017,官田鋼,          1.10,          0.00
2020,美亞,          4.07,          4.23
2022,聚亨,          2.64,          2.54
2023,燁輝,          6.52,          9.36
2024,志聯,         -0.54,         -5.37
2025,千興,          2.98,          2.84
2027,大成鋼,          8.29,         14.90
2029,盛餘,          8.80,         11.20
2031,新光鋼,          5.24,          4.40
2032,新鋼,         -1.42,         -4.43
2033,佳大,          3.98,          4.90
2101,南港,          0.07,          0.15
2102,泰豐,          4.88,          7.21
2103,台橡,         18.46,         22.62
2104,國際中橡,          9.50,         13.10
2105,正新,          7.34,         10.25
2106,建大,          7.07,         10.34
2107,厚生,          3.76,          4.62
2108,南帝,          3.50,          4.00
2109,華豐,          4.04,          5.25
2201,裕隆,          5.10,          9.20
2204,中華,          9.17,         13.12
2206,三陽工業,          6.72,         11.07
2207,和泰車,          7.05,          9.67
2301,光寶科,         10.49,         19.19
2302,麗正,        -17.13,        -44.10
2303,聯電,         14.93,         19.51
2305,全友,         16.11,         21.41
2308,台達電,         15.67,         23.87
2312,金寶,          6.04,          9.83
2313,華通,         17.10,         26.16
2314,台揚,         -4.77,         -6.81
2316,楠梓電,         17.45,         23.59
2317,鴻海,         18.21,         28.97
2321,東訊,          4.70,          5.23
2323,中環,         10.05,         13.79
2324,仁寶,         11.87,         18.80
2327,國巨,          9.07,         10.78
2328,廣宇,          3.42,          2.45
2329,華泰,         10.80,         18.81
2330,台積電,         32.40,         45.28
2331,精英,          0.10,         -5.04
2332,友訊,         11.00,         15.00
2337,旺宏,         15.43,         22.28
2338,光罩,         26.17,         32.72
2340,台亞,          7.48,         10.48
2342,茂矽,         10.50,         15.10
2344,華邦電,          8.90,         12.20
2345,智邦,         14.56,         24.91
2347,聯強,         12.88,         33.41
2348,海悅,         14.50,         23.90
2349,錸德,          9.63,         15.58
2351,順德,          5.92,          8.42
2352,佳世達,         10.33,         17.99
2353,宏碁,          7.20,         16.12
2354,鴻準,          8.53,         21.31
2355,敬鵬,         13.87,         22.07
2356,英業達,         28.65,         62.78
2357,華碩,         58.56,         77.13
2358,廷鑫,          5.94,          9.23
2359,所羅門,         11.00,         19.00
2360,致茂,         20.43,         23.74
2362,藍天,         42.39,         79.41
2363,矽統,         16.10,         19.53
2364,倫飛,         13.39,         26.23
2365,昆盈,         15.97,         28.06
2367,燿華,         15.01,         24.35
2368,金像電,         16.76,         38.06
2369,菱生,          6.52,          8.21
2371,大同,         10.66,         18.49
2373,震旦行,          4.72,          5.11
2374,佳能,          6.47,          9.23
2375,凱美,          4.36,          5.21
2376,技嘉,         20.71,         61.52
2377,微星,         21.00,         51.00
2379,瑞昱,         21.22,         31.87
2382,廣達,         16.88,         46.68
2383,台光電,         10.19,         16.48
2388,威盛,         20.85,         38.11
2390,云辰,         11.47,         14.33
2395,研華,         19.50,         36.57
2397,友通,          3.00,          4.00
2399,映泰,          8.81,         28.62
2404,漢唐,         10.08,         22.18
2413,環科,         15.26,         29.43
2414,精技,          8.75,         16.47
2415,錩新,         16.44,         26.07
2417,圓剛,         21.87,         30.93
2419,仲琦,         16.24,         29.35
2420,新巨,         10.37,         13.98
2421,建準,          9.13,         17.54
2424,隴華,          5.00,          7.00
2425,承啟,          7.84,         14.67
2426,鼎元,         11.21,         19.04
2430,燦坤,         12.41,         24.44
2431,聯昌,         13.18,         20.14
2434,統懋,         19.10,         30.00
2438,翔耀,         15.29,         27.97
2439,美律,          6.89,          8.09
2442,新美齊,          4.16,         12.37
2462,良得電,          7.28,          9.64
2464,盟立,          7.57,         10.41
2467,志聖,          5.79,         16.14
2471,資通,          9.29,         17.80
2476,鉅祥,          9.40,         14.95
2485,兆赫,         11.34,         26.72
2492,華新科,          4.98,          5.53
2501,國建,          7.96,          9.21
2504,國產,          3.67,          3.26
2505,國揚,         10.14,         17.82
2506,太設,          3.52,          4.03
2509,全坤建,          4.06,          4.78
2511,太子,          5.00,          7.00
2514,龍邦,          3.90,          7.29
2515,中工,          1.66,          2.97
2516,新建,          1.29,          1.47
2520,冠德,          5.43,         11.02
2524,京城,         -0.55,         -2.16
2527,宏璟,         -3.82,        -12.25
2528,皇普,          2.23,          6.79
2530,華建,          3.06,          7.77
2534,宏盛,          8.17,         13.65
2535,達欣工,          5.56,         11.32
2536,宏普,          6.58,         14.07
2537,聯上發,          3.51,          7.49
2538,基泰,          6.60,         15.76
2539,櫻花建,          8.59,         13.54
2540,愛山林,          2.35,          2.85
2543,皇昌,         12.79,         23.29
2546,根基,         11.38,         25.07
2603,長榮,          8.00,         10.85
2605,新興,          4.78,          4.10
2606,裕民,          5.36,          7.16
2607,榮運,          9.98,         12.83
2608,嘉里大榮,         20.38,         26.16
2609,陽明,          6.23,         11.18
2610,華航,          4.16,          5.11
2611,志信,          1.20,          1.30
2612,中航,          7.29,          9.35
2613,中櫃,          1.56,          2.86
2614,東森,          8.21,         11.88
2615,萬海,         20.32,         30.69
2616,山隆,          7.35,          9.20
2617,台航,         -6.06,        -10.98
2701,萬企,          3.80,          5.40
2704,國賓,          1.67,          1.87
2705,六福,         11.43,         14.59
2706,第一店,          5.90,          8.40
2707,晶華,         17.31,         22.57
2801,彰銀,          0.60,         13.38
2809,京城銀,          0.68,         10.47
2812,台中銀,          1.17,         15.91
2816,旺旺保,          1.05,          2.25
2820,華票,          7.20,         10.06
2832,台產,          2.06,          9.51
2834,臺企銀,          0.53,         12.51
2836,高雄銀,          0.21,          4.67
2845,遠東銀,          0.59,          4.61
2849,安泰銀,          0.80,          5.58
2901,欣欣,          2.55,          2.80
2903,遠百,          7.50,         14.70
2904,匯僑,          7.45,         10.75
2905,三商,          7.46,         10.50
2906,高林,          7.37,         10.38
2908,特力,          5.11,          5.99
2910,統領,          6.85,         12.06
2911,麗嬰房,          5.25,         11.84
2912,統一超,         16.58,         29.15
2913,農林,          7.24,         13.42
2915,潤泰全,          0.10,          0.17
3010,華立,         13.45,         38.04
3024,憶聲,          7.35,         11.50
3035,智原,          3.52,          5.84
3037,欣興,         13.24,         19.51
3038,全台,         14.74,         48.65
3041,揚智,          5.56,         15.39
3052,夆典,          3.52,          4.74
5007,三星,          7.14,         10.70
5306,桂盟,          4.28,          5.58
5522,遠雄,          3.90,         11.19
6005,群益證,          3.29,         17.15
6191,精成科,         -5.61,        -19.53
9902,台火,          5.95,          6.32
9904,寶成,         16.48,         26.18
9905,大華,          9.28,         10.61
9906,欣巴巴,         -7.53,        -13.29
9907,統一實,          4.03,          7.94
9908,大台北,          2.29,          3.66
9910,豐泰,         11.00,         21.00
9911,櫻花,          2.83,          1.54
9912,偉聯,          0.82,          0.67
9914,美利達,          3.60,          5.00
9917,中保科,         15.59,         22.54
9918,欣天然,          9.01,         14.51
9919,康那香,          7.50,         10.58
9921,巨大,          5.34,          7.46
9924,福興,          3.10,          3.70
9925,新保,         13.71,         19.20
9926,新海,          8.28,         17.36
9927,泰銘,         15.09,         20.67
9929,秋雨,          8.30,         13.04
9931,欣高,          5.71,         11.85
9933,中鼎,          3.15,          4.77
9937,全國,          4.55,          6.78
9945,潤泰新,          2.86,          2.72
